Name,max_mu,max_muindex_var,P
1_001_2019_Nov_15_1717,2.77544858,1.05334616,0.003422887
2_001_2019_Nov_15_1857,2.552590448,0.329641198,4.38E-06
3_001_2019_Nov_16_1547,3.229179261,0.845074536,0.000221765
4_001_2019_Nov_18_1322,2.968364416,0.525001574,2.10E-05
5_001_2019_Nov_16_1419,3.383083014,0.665805998,1.69E-05
6_001_2019_Nov_16_1451,2.687166409,0.504649785,7.76E-05
7_001_2019_Nov_18_1108,3.709197821,1.342324263,0.000683609
8_001_2019_Nov_18_1351,2.645561622,0.418391987,2.16E-05
9_001_2019_Nov_18_1622,3.251633176,0.76109708,9.68E-05
10_001_2019_Nov_18_1652,4.457212358,0.501756225,1.56E-10
11_001_2019_Nov_18_1808,2.019831948,0.968477752,0.020063473
12_001_2019_Nov_19_1647,2.994503762,1.427598355,0.006101219
13_001_2019_Nov_18_1719,3.020387933,0.588744146,4.14E-05
14_001_2019_Nov_18_1847,2.314151448,1.253841679,0.019382789
15_001_2019_Nov_19_1549,3.563591786,0.563965729,1.04E-06
16_001_2019_Nov_19_1747,2.475904171,0.982580511,0.006249135
17_001_2019_Nov_19_1815,3.546862264,0.677780443,8.23E-06
18_001_2019_Nov_20_1047,3.322008641,0.528764002,2.46E-06
19_001_2019_Nov_20_1515,2.147700799,1.297648703,0.029690355
20_001_2019_Nov_20_1714,2.998306458,0.77556189,0.000331289
21_001_2019_Nov_20_1445,4.259015625,0.773427482,6.40E-07
22_001_2019_Nov_20_1647,3.210396724,0.704916068,6.57E-05
23_001_2019_Nov_20_1746,2.994153556,1.921162984,0.015378979
24_001_2019_Nov_20_1814,3.330660996,0.817966873,0.000115403
25_001_2019_Nov_21_1017,3.090356032,1.377013636,0.004225034
26_001_2019_Nov_21_1250,3.473072516,0.702507419,1.71E-05
27_001_2019_Nov_21_1753,4.286349669,0.674470922,8.98E-08
28_001_2019_Nov_22_1146,3.083457374,0.210414272,8.96E-12
29_001_2019_Nov_21_1317,3.023355469,1.333275217,0.004417681
30_001_2019_Nov_21_1723,3.19530402,0.768344458,0.000133536
31_001_2019_Nov_21_1819,3.242013865,0.866876256,0.000248786
32_001_2019_Nov_22_1644,3.728330326,1.724542569,0.0022622
33_001_2019_Nov_22_1217,3.012544707,1.077098999,0.001849665
34_001_2019_Nov_22_1745,2.387183762,0.388191007,6.37E-05
35_001_2019_Nov_26_1117,3.981858928,1.36359884,0.000324925
36_001_2019_Nov_28_1446,3.798384921,1.805290637,0.002349335
37_001_2019_Nov_22_1717,3.493890322,0.745649709,2.60E-05
38_001_2019_Nov_27_1357,2.34622594,0.882920362,0.00626341
39_001_2019_Nov_28_1519,3.652400172,1.202334525,0.00043278
40_001_2019_Nov_29_1723,2.869246028,0.570443954,7.27E-05